Input,Model,Adj. R,Coef,P
4o_Item7_report,OR~IT_lag1,0.156,0.3902,0.000***
4o_Item7_report,OR~IT_lag2,0.15,0.3739,0.000***
4o_Item7_report,OR~IT_lag3,0.191,0.4209,0.000***
4o_Item7_report,OR~IT_lag4,0.185,0.4103,0.000***
4o_Item7_report,OR~IT_lag5,0.148,0.3652,0.000***
4o_Item7_filter,OR~IT_lag1,0.156,0.3902,0.000***
4o_Item7_filter,OR~IT_lag2,0.15,0.3739,0.000***
4o_Item7_filter,OR~IT_lag3,0.191,0.4209,0.000***
4o_Item7_filter,OR~IT_lag4,0.185,0.4103,0.000***
4o_Item7_filter,OR~IT_lag5,0.148,0.3652,0.000***
4o_Item17_report,OR~IT_lag1,0.156,0.3902,0.000***
4o_Item17_report,OR~IT_lag2,0.15,0.3739,0.000***
4o_Item17_report,OR~IT_lag3,0.191,0.4209,0.000***
4o_Item17_report,OR~IT_lag4,0.185,0.4103,0.000***
4o_Item17_report,OR~IT_lag5,0.148,0.3652,0.000***
4o_Item17_filter,OR~IT_lag1,0.156,0.3902,0.000***
4o_Item17_filter,OR~IT_lag2,0.15,0.3739,0.000***
4o_Item17_filter,OR~IT_lag3,0.191,0.4209,0.000***
4o_Item17_filter,OR~IT_lag4,0.185,0.4103,0.000***
4o_Item17_filter,OR~IT_lag5,0.148,0.3652,0.000***
o4_Item7_report,OR~IT_lag1,0.065,0.3144,0.000***
o4_Item7_report,OR~IT_lag2,0.073,0.3248,0.000***
o4_Item7_report,OR~IT_lag3,0.081,0.3331,0.000***
o4_Item7_report,OR~IT_lag4,0.096,0.3543,0.000***
o4_Item7_report,OR~IT_lag5,0.041,0.2265,0.000***
o4_Item7_filter,OR~IT_lag1,0.065,0.3144,0.000***
o4_Item7_filter,OR~IT_lag2,0.073,0.3248,0.000***
o4_Item7_filter,OR~IT_lag3,0.081,0.3331,0.000***
o4_Item7_filter,OR~IT_lag4,0.096,0.3543,0.000***
o4_Item7_filter,OR~IT_lag5,0.041,0.2265,0.000***
o4_Item17_report,OR~IT_lag1,0.065,0.3144,0.000***
o4_Item17_report,OR~IT_lag2,0.073,0.3248,0.000***
o4_Item17_report,OR~IT_lag3,0.081,0.3331,0.000***
o4_Item17_report,OR~IT_lag4,0.096,0.3543,0.000***
o4_Item17_report,OR~IT_lag5,0.041,0.2265,0.000***
o4_Item17_filter,OR~IT_lag1,0.065,0.3144,0.000***
o4_Item17_filter,OR~IT_lag2,0.073,0.3248,0.000***
o4_Item17_filter,OR~IT_lag3,0.081,0.3331,0.000***
o4_Item17_filter,OR~IT_lag4,0.096,0.3543,0.000***
o4_Item17_filter,OR~IT_lag5,0.041,0.2265,0.000***
